Date,Time,Group,Pixel,Area,Plant,Area per plant,No.
2023-04-25,23:45:09,2-upper,691672,1235.13,11,112.28,3
2023-04-25,23:45:18,3-lower,347454,589.63,10,58.96,4
2023-04-25,23:45:27,3-mid,784268,1314.26,12,109.52,5
2023-04-25,23:45:36,3-upper,766882,1481.95,10,148.19,7
2023-04-25,23:45:46,1-mid,905714,1617.89,9,179.77,8
2023-04-25,23:45:56,1-lower,740981,1257.84,11,114.35,9
2023-04-26,00:20:02,2-lower,734790,1231.54,12,102.63,0
2023-04-26,00:20:10,2-mid,845476,1399.34,11,127.21,1
2023-04-26,00:20:19,1-upper,729098,1301.96,10,130.20,2
2023-04-26,00:20:27,2-upper,693184,1237.83,11,112.53,3
2023-04-26,00:20:36,3-lower,347613,589.90,10,58.99,4
2023-04-26,00:20:44,3-mid,786193,1317.49,12,109.79,5
2023-04-26,00:20:53,3-upper,768776,1485.61,10,148.56,7
2023-04-26,00:21:01,1-mid,905341,1617.22,9,179.69,8
2023-04-26,00:21:10,1-lower,741188,1258.19,11,114.38,9
2023-04-26,00:55:07,2-lower,735718,1233.10,12,102.76,0
2023-04-26,00:55:16,2-mid,846504,1401.04,11,127.37,1
2023-04-26,00:55:26,1-upper,729739,1303.11,10,130.31,2
2023-04-26,00:55:36,2-upper,693983,1239.26,11,112.66,3
2023-04-26,00:55:46,3-lower,345902,586.99,10,58.70,4
2023-04-26,00:55:59,3-mid,788729,1321.74,12,110.14,5
2023-04-26,00:56:16,3-upper,769502,1487.01,10,148.70,7
2023-04-26,00:56:29,1-mid,905523,1617.54,9,179.73,8
2023-04-26,00:56:38,1-lower,744355,1263.57,11,114.87,9
2023-04-26,01:30:32,2-lower,736789,1234.89,12,102.91,0
2023-04-26,01:30:40,2-mid,845798,1399.87,11,127.26,1
2023-04-26,01:30:49,1-upper,729749,1303.12,10,130.31,2
2023-04-26,01:30:57,2-upper,693106,1237.69,11,112.52,3
2023-04-26,01:31:06,3-lower,344671,584.90,10,58.49,4
2023-04-26,01:31:14,3-mid,791811,1326.90,12,110.58,5
2023-04-26,01:31:23,3-upper,768207,1484.51,10,148.45,7
2023-04-26,01:31:31,1-mid,881771,1575.12,9,175.01,8
2023-04-26,01:31:39,1-lower,743450,1262.03,11,114.73,9
2023-04-26,02:05:30,2-lower,738541,1237.83,12,103.15,0
2023-04-26,02:05:39,2-mid,847686,1403.00,11,127.55,1
2023-04-26,02:05:48,1-upper,733115,1309.13,10,130.91,2
2023-04-26,02:05:56,2-upper,694608,1240.37,11,112.76,3
2023-04-26,02:06:05,3-lower,347675,590.00,10,59.00,4
2023-04-26,02:06:13,3-mid,798704,1338.45,12,111.54,5
2023-04-26,02:06:22,3-upper,770445,1488.83,10,148.88,7
2023-04-26,02:06:30,1-mid,881535,1574.69,9,174.97,8
2023-04-26,02:06:38,1-lower,744958,1264.59,11,114.96,9
2023-04-26,02:40:32,2-lower,737741,1236.49,12,103.04,0
2023-04-26,02:40:41,2-mid,846847,1401.61,11,127.42,1
2023-04-26,02:40:50,1-upper,732256,1307.60,10,130.76,2
2023-04-26,02:40:58,2-upper,692817,1237.17,11,112.47,3
2023-04-26,02:41:07,3-lower,346143,587.40,10,58.74,4
2023-04-26,02:41:16,3-mid,801112,1342.49,12,111.87,5
2023-04-26,02:41:25,3-upper,768554,1485.18,10,148.52,7
2023-04-26,02:41:33,1-mid,881150,1574.01,9,174.89,8
2023-04-26,02:41:42,1-lower,743914,1262.82,11,114.80,9
2023-04-26,03:15:32,2-lower,736040,1233.63,12,102.80,0
2023-04-26,03:15:40,2-mid,846575,1401.16,11,127.38,1
2023-04-26,03:15:48,1-upper,732568,1308.16,10,130.82,2
2023-04-26,03:15:57,2-upper,693437,1238.28,11,112.57,3
2023-04-26,03:16:05,3-lower,346350,587.75,10,58.78,4
2023-04-26,03:16:14,3-mid,800215,1340.99,12,111.75,5
2023-04-26,03:16:22,3-upper,768178,1484.45,10,148.45,7
2023-04-26,03:16:31,1-mid,881699,1574.99,9,175.00,8
2023-04-26,03:16:39,1-lower,744953,1264.58,11,114.96,9
2023-04-26,03:50:29,2-lower,735374,1232.52,12,102.71,0
2023-04-26,03:50:37,2-mid,841211,1392.28,11,126.57,1
2023-04-26,03:50:46,1-upper,731974,1307.10,10,130.71,2
2023-04-26,03:50:54,2-upper,691637,1235.07,11,112.28,3
2023-04-26,03:51:03,3-lower,348117,590.75,10,59.08,4
2023-04-26,03:51:12,3-mid,789055,1322.28,12,110.19,5
2023-04-26,03:51:21,3-upper,765633,1479.53,10,147.95,7
2023-04-26,03:51:30,1-mid,883001,1577.31,9,175.26,8
2023-04-26,03:51:38,1-lower,743633,1262.34,11,114.76,9
2023-04-26,16:05:31,2-lower,716103,1200.22,12,100.02,0
2023-04-26,16:05:40,2-mid,757227,1253.28,11,113.93,1
2023-04-26,16:05:49,1-upper,790158,1411.00,10,141.10,2
2023-04-26,16:05:58,2-upper,702619,1254.68,11,114.06,3
2023-04-26,16:06:07,3-lower,318556,540.59,10,54.06,4
2023-04-26,16:06:16,3-mid,737215,1235.41,12,102.95,5
2023-04-26,16:06:25,3-upper,702621,1357.77,10,135.78,7
2023-04-26,16:06:34,1-mid,951513,1699.70,9,188.86,8
2023-04-26,16:06:43,1-lower,798689,1355.80,11,123.25,9
2023-04-26,16:40:49,2-lower,651344,1091.68,12,90.97,0
2023-04-26,16:40:58,2-mid,782633,1295.33,11,117.76,1
2023-04-26,16:41:07,1-upper,760946,1358.83,10,135.88,2
2023-04-26,16:41:17,2-upper,676997,1208.92,11,109.90,3
2023-04-26,16:41:28,3-lower,332993,565.09,10,56.51,4
2023-04-26,16:41:38,3-mid,744605,1247.80,12,103.98,5
2023-04-26,16:41:49,3-upper,722285,1395.77,10,139.58,7
2023-04-26,16:42:00,1-mid,948635,1694.56,9,188.28,8
2023-04-26,16:42:10,1-lower,708334,1202.42,11,109.31,9
2023-04-26,17:16:46,2-lower,659555,1105.44,12,92.12,0
2023-04-26,17:16:55,2-mid,791501,1310.01,11,119.09,1
2023-04-26,17:17:04,1-upper,769443,1374.01,10,137.40,2
2023-04-26,17:17:13,2-upper,685479,1224.07,11,111.28,3
2023-04-26,17:17:22,3-lower,341441,579.42,10,57.94,4
2023-04-26,17:17:31,3-mid,752770,1261.48,12,105.12,5
2023-04-26,17:17:41,3-upper,731213,1413.02,10,141.30,7
2023-04-26,17:17:50,1-mid,953588,1703.40,9,189.27,8
2023-04-26,17:17:59,1-lower,719471,1221.32,11,111.03,9
2023-04-26,17:52:18,2-lower,664671,1114.02,12,92.83,0
2023-04-26,17:52:29,2-mid,798560,1321.69,11,120.15,1
2023-04-26,17:52:39,1-upper,683791,1221.06,10,122.11,2
2023-04-26,17:52:50,2-upper,690092,1232.31,11,112.03,3
2023-04-26,17:53:00,3-lower,346642,588.25,10,58.82,4
2023-04-26,17:53:11,3-mid,762036,1277.01,12,106.42,5
2023-04-26,17:53:22,3-upper,738961,1427.99,10,142.80,7
2023-04-26,17:53:32,1-mid,958928,1712.94,9,190.33,8
